tweet_id,retweet_count,favorite_count,retweeted,timestamp,source,text,rating_numerator,rating_denominator,name,jpg_url,dog_breed,confidence_level,rating
786233965241827333,4358,14353,False,2016-10-12 15:55:59+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this mattie she extremely dangerous will bite your ckin finger right off still would pet with caution,11,10,Mattie,https://pbs.twimg.com/media/CulDnZpWcAAGbZ-.jpg,Labrador_retriever,0.478193,1.1
786036967502913536,6480,0,False,2016-10-12 02:53:11+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dog rates this scout really wants kiss himself ckin inappropriate narcissistic,11,10,Scout,https://pbs.twimg.com/media/CtKHLuCWYAA2TTs.jpg,golden_retriever,0.99383,1.1
784517518371221505,2357,8458,False,2016-10-07 22:15:26+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this frankie has yet learn how control his tongue maybe one day,11,10,Frankie,https://pbs.twimg.com/media/CuMqhGrXYAQwRqU.jpg,malamute,0.757764,1.1
784431430411685888,1181,5430,False,2016-10-07 16:33:21+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this stormy curly already pupared for coachella next year,12,10,Stormy,https://pbs.twimg.com/media/CuLcNkCXgAEIwK2.jpg,miniature_poodle,0.744819,1.2
783466772167098368,2073,7941,False,2016-10-05 00:40:09+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this finn likes eavesdropping from filing cabinets real issue but one has approached him about would still pet,11,10,Finn,https://pbs.twimg.com/media/Ct9u3ljW8AEnVIm.jpg,Chihuahua,0.789,1.1
783391753726550016,5073,15942,False,2016-10-04 19:42:03+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meet godi avid beachgoer and part time rainbow summoner eyeliner flawless would snug well,13,10,Godi,https://pbs.twimg.com/media/Ct8qn8EWIAAk9zP.jpg,Norwegian_elkhound,0.87713,1.3
783347506784731136,5130,0,False,2016-10-04 16:46:14+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dog rates this kenny just wants included the happenings,11,10,Kenny,https://pbs.twimg.com/media/CVuQ2LeUsAAIe3s.jpg,Cardigan,0.611525,1.1
783334639985389568,10839,27380,False,2016-10-04 15:55:06+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this dave currently predicament doesn seem mind tho someone assist dave,12,10,Dave,https://pbs.twimg.com/media/Ct72q9jWcAAhlnw.jpg,Cardigan,0.593858,1.2
782747134529531904,1316,7048,False,2016-10-03 01:00:34+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this deacon the happiest almost dry doggo ever seen would smile back,11,10,Deacon,https://pbs.twimg.com/media/CtzgXgeXYAA1Gxw.jpg,golden_retriever,0.560699,1.1
782722598790725632,4995,16228,False,2016-10-02 23:23:04+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this penny she fought bee and the bee won you fine penny everything fine,10,10,Penny,https://pbs.twimg.com/media/CtzKC7zXEAALfSo.jpg,Irish_setter,0.574557,1.0
